trait,selection temp,biorep,nutr,sampletype,traitvalue
bacload,FS,b4,deplete,bf,19
bacload,FS,b5,deplete,bf,14
bacload,FS,b6,deplete,bf,9
bacload,22,b1,deplete,pbf,0.2
bacload,22,b2,deplete,pbf,0.18
bacload,22,b3,deplete,pbf,1
bacload,22,b4,deplete,pbf,0.09
bacload,22,b5,deplete,pbf,0.3
bacload,22,b6,deplete,pbf,0.19
bacload,26,b1,deplete,pbf,0.01
bacload,26,b2,deplete,pbf,0
bacload,26,b3,deplete,pbf,0.23
bacload,26,b4,deplete,pbf,0.19
bacload,26,b5,deplete,pbf,1.44
bacload,26,b6,deplete,pbf,1.46
bacload,32,b1,deplete,pbf,1.01
bacload,32,b2,deplete,pbf,0.35
bacload,32,b3,deplete,pbf,0.3
bacload,32,b4,deplete,pbf,0.01
bacload,32,b5,deplete,pbf,0.06
bacload,32,b6,deplete,pbf,0.03
bacload,FS,b1,deplete,pbf,0.02
bacload,FS,b2,deplete,pbf,0.01
bacload,FS,b3,deplete,pbf,0.35
bacload,FS,b4,deplete,pbf,0.46
bacload,FS,b5,deplete,pbf,0.3
bacload,FS,b6,deplete,pbf,0.46
